id,parent_id,category_name,NoActive
1,-1,Статистика процентных ставок,1
13,1,По кредитам,1
14,13,В целом по Российской Федерации,0
15,13,В территориальном разрезе,0
16,13,В разрезе по видам экономической деятельности,0
17,1,По депозитам,1
18,17,В целом по Российской Федерации,0
19,17,В территориальном разрезе,0
2,-1,Статистика кредитования,1
20,2,По кредитам физическим лицам,0
21,2,По ипотечным жилищным кредитам,0
22,2,По кредитам юридическим лицам и индивидуальным предпринимателям (в т.ч. МСП),0
23,2,По кредитам субъектам МСП,0
4,-1,Денежно-кредитная статистика,1
5,4,Структура денежной массы,0
6,-1,Статистика внешнего сектора,1
7,6,Платежный баланс Российской Федерации,1
8,7,Ключевые агрегаты,0
9,7,Счет текущих операций,0
10,7,Счет операций с капиталом,0
11,7,Финансовый счет,0
12,7,Чистые ошибки и пропуски,0
32,6,Основные производные показатели динамики обменного курса рубля,1
33,32,Номинальные курсы иностранных валют к рублю (рублей за единицу иностранной валюты) (ежемесячные данные),0
34,32,Индексы обменного курса рубля (ежемесячные данные),0
35,32,Номинальные курсы иностранных валют к рублю (рублей за единицу иностранной валюты) (ежеквартальные данные),0
36,32,Индексы обменного курса рубля (ежеквартальные данные),0
24,-1,Мониторинг предприятий,1
25,24,Данные мониторинга всего,0
26,24,Участники опроса,0
27,24,Данные мониторинга по группам предприятий,1
28,27,Крупные,0
29,27,Средние,0
30,27,Малые и микро,0
